SongId,SongName,CCLINumber,Topic,Source
1, #256 - Cia Li Mus Qhia Pem Yajsab ,,,HBNA Songbook
2,#1 - Vajtswv Thov Koj Foom Koobhmoov,Public - No reporting needed,Youth Lead (Vamyeejkoob & Sheng not available),HBNA Songbook
3,#10 - Vajtswv Yog Peb Leejtxiv,No record to report,Fathers Day,HBNA Songbook
4,#101 - Tus ua Tuaj Tswv Yexus Tog,No record to report,Make Disciples/baptize & Teaching,HBNA Songbook
5,#104,,,HBNA Songbook
6,#104 - Peb Yog Tswv Yexus Ib Pab Tubrog,No record to report,Seng Led Worship (Unknown Topic),HBNA Songbook
7,"#11 - Vajtswv, Peb Yog Koj Cov Menyuam",No record to report,Guest Speaker Week (Unknown Topic),HBNA Songbook
8,"#112 - Zoo Siab Kawg, Kuv Tus Tswv Yexus",No record to report,God is our salvation,HBNA Songbook
9,#115 - Yexus Yog Lub Chaw Ruaj Khov Kho,Public - No reporting needed,God is our salvation,HBNA Songbook
10,#117 - Tsa Muag Ntsia Tej Liaj Teb,No record to report,Make Disciples/baptize & Teaching,HBNA Songbook
11,#12 - Kuv Lub Siab Qhuas Tus Tswv,,God With Us,Xh Thai's Hymnal Book
12,#12 - Kuv Lub Siab Qhuas Tus Tswv Yexus,6016351,Faithfulness,Xh Thai's Hymnal Book
13,#120 - Peb Cov Ntseeg Txhua Leej Txhua Tus,No record to report,God is our salvation,HBNA Songbook
14,#13 - Txhua Haivneeg Nyob Hauv Lub Qab Ntuj,3608102,Txl Tsavhaumxeeb Led Sermon,HBNA Songbook
15,#130 - Kuv Tsis Txajmuag Qhia Yexus Zaj,No record to report,Guest Speaker Week (Unknown Topic),HBNA Songbook
16,#131 - Kuv Nyiam Hais Txog Vajtswv Txojlus,No record to report,Holiness and Sin,HBNA Songbook
17,#134 - Cov Kwvtij Hmoob,No record to report,Repentance is God’s desires,HBNA Songbook
18,#145 - Tswv Yexus Lub Npe,Public - No reporting needed,God is Good (He is the good Shepherd),HBNA Songbook
19,"#148 - Koj Tsis Pab, Kuv Ua Tsis Tau Dabtsi",No record to report,40th Year Anniversary,HBNA Songbook
20,#149 - Thov Caw Kwvtij Hmoob Sawvdaws ,,Worshipers and Murderers,HBNA Songbook
21,#151 - Nimno Kuv Los Ntseeg Yexus,No record to report,God is Good (He is the good Shepherd),HBNA Songbook
22,#151 - Nimno Kuv Los Ntseeg Yexus ,,Worshipers and Murderers,HBNA Songbook
